room,showtime,id,version,attendance
R01,10:00,290003,2D,79
R01,12:15,966220,2D,91
R01,14:30,290003,2D,79
R01,18:15,290003,2D,79
R01,20:45,290003,2D,79
R01,23:15,723921,2D,80
R01,26:00,966220,2D,91
R01,28:15,966220,2D,91
R02,10:00,966220,2D,63
R02,13:00,290003,2D,55
R02,15:15,290003,2D,55
R02,18:15,290003,2D,55
R02,20:30,676701,2D,54
R02,22:15,723921,2D,55
R02,25:00,290003,2D,55
R02,27:45,966220,2D,63
R03,10:00,966220,2D,70
R03,12:15,290003,2D,61
R03,15:00,723921,2D,62
R03,17:45,676701,2D,60
R03,19:30,290003,2D,61
R03,21:45,723921,2D,62
R03,25:00,672392,2D,72
R03,28:15,966220,2D,70
R04,10:00,290003,2D,92
R04,13:45,676701,2D,90
R04,15:30,966220,2D,105
R04,17:45,966220,2D,105
R04,20:00,966220,2D,105
R04,23:15,290003,2D,92
R04,26:15,966220,2D,105
R04,29:30,290003,2D,92
R05,10:30,676701,2D,60
R05,12:15,290003,2D,61
R05,15:00,290003,2D,61
R05,18:00,676701,2D,60
R05,20:00,723921,2D,62
R05,22:45,966220,2D,70
R05,27:15,290003,2D,61
R05,29:45,723921,2D,62
R06,10:00,966220,2D,70
R06,13:15,966220,2D,70
R06,15:30,676701,2D,60
R06,17:45,290003,2D,61
R06,20:00,723921,2D,62
R06,23:45,676701,2D,60
R06,25:30,723921,2D,62
R06,29:30,290003,2D,61
R07,10:15,723921,2D,74
R07,13:00,290003,2D,73
R07,15:30,290003,2D,73
R07,17:45,290003,2D,73
R07,20:30,723921,2D,74
R07,23:30,723921,2D,74
R07,27:30,290003,2D,73
R07,29:45,290003,2D,73
R08,10:00,290003,2D,61
R08,12:30,290003,2D,61
R08,14:45,290003,2D,61
R08,18:15,723921,2D,62
R08,21:45,290003,2D,61
R08,24:45,290003,2D,61
R08,27:00,290003,2D,61
R08,29:45,966220,2D,70
