,0
actor_Brahmanandam,-1.253911740970656
dir_Frank McDonald,-1.0843435575319602
dir_Ulli Lommel,-1.0592764866101365
genre_Horror,-0.6642386312432874
dir_Charles Band,-0.5820515019387369
dir_Kōji Wakamatsu,-0.5697866711973335
actor_Michael Madsen,-0.40501584996540463
actor_Aldo Sambrell,-0.40328378958147126
lang_ml,-0.30239060035084314
prodcomp_Gorky Film Studios,-0.2921038763782291
actor_Hulk Hogan,-0.27825265537556293
prodcomp_Republic Pictures,-0.2499572639927556
actor_Suet Lam,-0.2196360848283859
lang_sv,-0.18901687504519346
actor_Eric Roberts,-0.1824412588206781
genre_Action,-0.1570655035802174
prodcomp_Mosfilm,-0.14281763249602525
dir_René Cardona Jr.,-0.13066475923216025
genre_Romance,-0.1135985879625771
genre_Thriller,-0.10959197867257675
genre_Science Fiction,-0.10123771635428855
lang_es,-0.09764088746026241
n_director,-0.09691259129671678
prodcomp_Lenfilm,-0.09008426616153363
genre_Western,-0.08693629162094398
genre_Adventure,-0.08425797631316194
lang_ru,-0.0810111359345448
prodcomp_Filmové studio Barrandov,-0.06340252505474984
genre_Comedy,-0.03533095714028545
genre_Crime,-0.017755109120937414
lang_zh,-0.013908490422335572
lang_ta,-0.003211357662679106
actor_Jr.,-0.0
actor_Jagathy Sreekumar,-0.0
actor_Byron Foulger,-0.0
actor_Mohanlal,0.0
actor_Ren Osugi,0.0
actor_Steve Austin,0.0
actor_Anupam Kher,-0.0
actor_Paul Wight,0.0
actor_Chris Jericho,-0.0
actor_Michael Hickenbottom,0.0
actor_Paul Michael Lévesque,-0.0
actor_Emmett Vogan,-0.0
actor_Velimir Živojinović,-0.0
actor_Hiroki Matsukata,0.0
actor_José Riesgo,-0.0
actor_Mickey Rooney,-0.0
actor_Bess Flowers,0.0
actor_Manobala,-0.0
actor_Nassar,-0.0
actor_Saiju Kurup,0.0
actor_Amitabh Bachchan,-0.0
dir_Wim Wenders,0.0
actor_Salim Kumar,0.0
actor_Edward Gargan,0.0
actor_Forbes Murray,0.0
actor_Danny Trejo,-0.0
genre_War,0.0
actor_Ravi Prakash,-0.0
actor_Óscar Gutiérrez,-0.0
actor_Jeffrey Sayre,0.0
actor_Kota Srinivasa Rao,-0.0
actor_Ken Mitsuishi,0.0
actor_Dwayne Johnson,0.0
genre_Fantasy,0.0
actor_William H. O'Brien,0.0
actor_Emma Roldán,0.0
dir_Rainer Werner Fassbinder,0.0
actor_Nedumudi Venu,-0.0
dir_Jeff Beesley,0.0
dir_Lesley Selander,0.0
dir_René Cardona,0.0
dir_Jesús Franco,-0.0
dir_Mariano Ozores,0.0
dir_Damián Romay,0.0
dir_Raoul Walsh,0.0
dir_Raúl Ruiz,0.0
dir_William Beaudine,0.0
dir_Julio Bracho,-0.0
dir_Richard Thorpe,0.0
dir_Rafael Baledón,0.0
dir_Ram Gopal Varma,-0.0
dir_Emilio Gómez Muriel,-0.0
dir_Allan Dwan,0.0
dir_Fred Olen Ray,-0.0
prodcomp_Canal+,-0.0
dir_Henry King,0.0
lang_hi,-0.0
prodcomp_France 2 Cinéma,0.0
dir_John Sturges,0.0
prodcomp_Columbia Pictures,0.0
actor_Wade Boteler,-0.0
dir_Yasuo Furuhata,-0.0
prodcomp_ZDF,0.0
prodcomp_Shaw Brothers,-0.0
lang_en,0.0
dir_Gilberto Martínez Solares,0.0
prodcomp_RKO Radio Pictures,-0.0
prodcomp_Nikkatsu Corporation,-0.0
prodcomp_Reel One Entertainment,0.0
prodcomp_BBC Film,0.0
prodcomp_ARTE France Cinéma,-0.0
prodcomp_CJ Entertainment,0.0
prodcomp_France 3 Cinéma,0.0
lang_de,-0.0
prodcomp_CNC,-0.0
n_genres,0.009978079758225749
n_writers,0.01168128668799467
prodcomp_Universal Pictures,0.01819032022339417
lang_pt,0.02919433381634076
actor_Sukumari,0.035219366679297745
n_cast,0.042289754849622316
actor_Randy Orton,0.04624904316153894
prodcomp_ARD,0.049052963755885824
n_prodcomp,0.05132545657406476
lang_it,0.054202258978921176
actor_Glenn Jacobs,0.07669416530816298
n_producers,0.08339966098793991
genre_Family,0.0892118050224419
lang_fr,0.09632556776635855
actor_Mark Calaway,0.1175915470979783
genre_Drama,0.11759392472601446
actor_John Cena,0.1277332552389774
prodcomp_United Artists,0.13122135514939873
genre_History,0.13696928647708842
prodcomp_Paramount,0.14121755129569502
prodcomp_Metro-Goldwyn-Mayer,0.15267107632434748
genre_TV Movie,0.18185253889104022
lang_cn,0.21087047928820196
prodcomp_Shochiku,0.21292192275693336
genre_Mystery,0.21396824684185778
runtime,0.22832417621906437
actor_Frank Welker,0.2342123525736816
prodcomp_ARTE,0.254256121142458
dir_Vince McMahon,0.28308899371693097
lang_ja,0.29085229215355013
dir_Rogelio A. González,0.2938962039170913
lang_ko,0.2946963883499885
prodcomp_Warner Bros. Pictures,0.30820031574187107
prodcomp_20th Century Fox,0.32170768567295727
lang_other,0.35988186548182655
actor_Indrans,0.36408551834783276
prodcomp_Toei Company,0.37187715235710533
prodcomp_BBC,0.379778442810084
dir_Kevin Dunn,0.4224351980305197
prodcomp_TOHO,0.4302510228964702
actor_Alberto Sordi,0.6291038091926643
actor_Mick Foley,0.7329037485311662
genre_Music,0.8625976953300797
genre_Animation,0.9044159500216379
genre_Documentary,0.9264205769605723
