iter	RMSE
0	1.696801058
1	1.686058491
2	1.675947875
3	1.668083377
4	1.662215858
5	1.655972336
6	1.650846008
7	1.646007571
8	1.6410274
9	1.636853488
10	1.633329363
11	1.629086312
12	1.626159127
13	1.62324998
14	1.61993705
15	1.617293659
16	1.613677402
17	1.612295575
18	1.610758515
19	1.608881298
20	1.606364914
21	1.604081362
22	1.602758378
23	1.601404443
24	1.599655403
25	1.598568686
26	1.597968164
27	1.59698744
28	1.596131102
29	1.595598597
30	1.594203436
31	1.593717521
32	1.593091679
33	1.592150483
34	1.590780849
35	1.590272149
36	1.589653055
37	1.58862487
38	1.588504869
39	1.587035958
40	1.58682476
41	1.586188879
42	1.585326019
43	1.584860566
44	1.584432897
45	1.584190709
46	1.583826324
47	1.583650421
48	1.583331793
49	1.582337348
50	1.581912896
51	1.581761458
52	1.581510575
53	1.581463266
54	1.580928864
55	1.580848473
56	1.580472235
57	1.579934876
58	1.579601096
59	1.579066275
60	1.579008929
61	1.578480463
62	1.577405284
63	1.576955386
64	1.576657367
65	1.57601733
66	1.575535059
67	1.575146905
68	1.574717349
69	1.574523077
70	1.573960943
71	1.573818739
72	1.573638477
73	1.573330227
74	1.572919157
75	1.572647866
76	1.572285882
77	1.571919861
78	1.571137023
79	1.570690534
80	1.570504528
81	1.570260879
82	1.570070886
83	1.569771696
84	1.569332531
85	1.569301248
86	1.569139481
87	1.568228163
88	1.568190748
89	1.567921803
90	1.567282727
91	1.56710348
92	1.566983632
93	1.56684951
94	1.566660355
95	1.56646608
96	1.565862505
97	1.565476105
98	1.565036922
99	1.564886994
100	1.564841051
101	1.564591869
102	1.564481607
103	1.564005474
104	1.563833385
105	1.56356895
106	1.563199582
107	1.563188858
108	1.562356274
109	1.562291286
110	1.561756723
111	1.561647427
112	1.561569653
113	1.561492628
114	1.561158421
115	1.560760142
116	1.560410479
117	1.559793173
118	1.559296933
119	1.55889254
120	1.55845461
121	1.557718263
122	1.557547124
123	1.557170246
124	1.556356648
125	1.556308741
126	1.555845454
127	1.555555032
128	1.554741872
129	1.554175477
130	1.554010298
131	1.55316991
132	1.553004751
133	1.552969843
134	1.552746032
135	1.552266573
136	1.551867713
137	1.551836324
138	1.551738591
139	1.551484838
140	1.551277061
141	1.551044154
142	1.550467717
143	1.550410021
144	1.550386024
145	1.549962638
146	1.54993288
147	1.5496035
148	1.549133373
149	1.548301541
150	1.548032678
151	1.547591808
152	1.547420964
153	1.54713497
154	1.546689604
155	1.546661586
156	1.546448471
157	1.546091557
158	1.545840602
159	1.545248039
160	1.545230105
161	1.545162873
162	1.544525387
163	1.544499904
164	1.544477588
165	1.54443629
166	1.544267811
167	1.544070196
168	1.543583901
169	1.543116553
170	1.542808454
171	1.542603812
172	1.54218122
173	1.541946648
174	1.5416217
175	1.54153145
176	1.541476633
177	1.541182607
178	1.54101608
179	1.540863585
180	1.540787273
181	1.540599016
182	1.540025876
183	1.539674135
184	1.539393802
185	1.539069698
186	1.538974284
187	1.538908416
188	1.538279838
189	1.537603671
190	1.537152857
191	1.536932893
192	1.536759259
193	1.536382551
194	1.53612315
195	1.53579004
196	1.535540069
197	1.534974346
198	1.534822248
199	1.534739792
