iter	Passed	Remaining
0	168	41839
1	221	27449
2	273	22510
3	322	19829
4	370	18159
5	418	17004
6	472	16394
7	520	15745
8	570	15263
9	619	14872
10	665	14455
11	708	14049
12	757	13811
13	804	13556
14	852	13356
15	904	13233
16	952	13048
17	999	12881
18	1046	12720
19	1094	12582
20	1143	12470
21	1196	12395
22	1242	12263
23	1291	12159
24	1341	12070
25	1391	11985
26	1436	11867
27	1484	11766
28	1536	11712
29	1590	11667
30	1641	11597
31	1688	11501
32	1735	11413
33	1783	11332
34	1835	11272
35	1884	11200
36	1933	11131
37	1984	11069
38	2022	10944
39	2071	10877
40	2119	10803
41	2165	10722
42	2210	10639
43	2259	10580
44	2303	10492
45	2352	10432
46	2401	10372
47	2418	10177
48	2477	10162
49	2524	10097
50	2570	10030
51	2621	9982
52	2669	9922
53	2694	9779
54	2745	9734
55	2785	9650
56	2833	9595
57	2885	9551
58	2934	9498
59	2985	9454
60	3036	9408
61	3088	9364
62	3138	9314
63	3186	9259
64	3233	9203
65	3282	9150
66	3330	9097
67	3379	9043
68	3429	8995
69	3477	8941
70	3525	8888
71	3579	8848
72	3635	8815
73	3680	8754
74	3727	8696
75	3774	8641
76	3820	8583
77	3865	8523
78	3914	8473
79	3969	8435
80	4019	8385
81	4067	8333
82	4115	8280
83	4164	8229
84	4212	8177
85	4229	8065
86	4279	8016
87	4328	7967
88	4360	7887
89	4406	7833
90	4452	7779
91	4499	7728
92	4558	7695
93	4604	7641
94	4651	7589
95	4698	7537
96	4747	7487
97	4794	7436
98	4843	7387
99	4890	7335
100	4938	7284
101	4990	7241
102	5040	7193
103	5089	7145
104	5137	7094
105	5182	7039
106	5224	6982
107	5244	6896
108	5290	6844
109	5335	6790
110	5384	6742
111	5440	6702
112	5492	6658
113	5540	6610
114	5588	6560
115	5636	6511
116	5687	6465
117	5736	6417
118	5785	6368
119	5857	6345
120	5905	6296
121	5954	6247
122	6004	6199
123	6061	6158
124	6108	6108
125	6155	6057
126	6205	6009
127	6254	5961
128	6308	5917
129	6358	5869
130	6405	5818
131	6453	5769
132	6501	5718
133	6547	5668
134	6595	5618
135	6643	5568
136	6689	5517
137	6737	5468
138	6782	5416
139	6830	5366
140	6876	5315
141	6923	5265
142	6973	5217
143	7023	5169
144	7072	5121
145	7121	5072
146	7167	5022
147	7218	4975
148	7267	4926
149	7316	4877
150	7377	4837
151	7427	4789
152	7474	4738
153	7528	4692
154	7582	4647
155	7628	4596
156	7674	4546
157	7725	4498
158	7773	4448
159	7823	4400
160	7872	4351
161	7919	4301
162	7969	4253
163	8017	4204
164	8067	4156
165	8116	4106
166	8164	4058
167	8211	4007
168	8260	3959
169	8305	3908
170	8352	3858
171	8399	3809
172	8452	3762
173	8499	3712
174	8547	3663
175	8594	3613
176	8641	3563
177	8688	3514
178	8737	3465
179	8784	3416
180	8831	3366
181	8881	3318
182	8929	3269
183	8975	3219
184	9022	3169
185	9074	3122
186	9125	3074
187	9171	3024
188	9218	2975
189	9266	2926
190	9314	2877
191	9361	2827
192	9408	2778
193	9467	2732
194	9517	2684
195	9569	2636
196	9620	2588
197	9667	2539
198	9715	2489
199	9764	2441
200	9813	2392
201	9867	2344
202	9915	2295
203	9964	2246
204	10015	2198
205	10064	2149
206	10111	2100
207	10157	2051
208	10206	2002
209	10257	1953
210	10306	1904
211	10352	1855
212	10401	1806
213	10450	1757
214	10501	1709
215	10555	1661
216	10603	1612
217	10653	1563
218	10703	1515
219	10756	1466
220	10806	1418
221	10856	1369
222	10906	1320
223	10955	1271
224	11010	1223
225	11061	1174
226	11118	1126
227	11168	1077
228	11214	1028
229	11262	979
230	11312	930
231	11360	881
232	11409	832
233	11465	783
234	11514	734
235	11567	686
236	11617	637
237	11678	588
238	11725	539
239	11773	490
240	11820	441
241	11868	392
242	11917	343
243	11967	294
244	12018	245
245	12063	196
246	12107	147
247	12152	98
248	12200	48
249	12250	0
